arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
109->341,542,bezier_mle,0.16339603200322017,nll,-2401.041386490614,False,rush_hour,10
109->341,542,gen_beta_mle,0.03354948404012248,nll,-2384.6220196752815,False,rush_hour,10
109->341,542,johnson_mle,0.08596624399069697,nll,-2383.2346857295697,False,rush_hour,10
109->78,542,bezier_mle,0.0061549710226245224,nll,-1951.0174511685968,False,rush_hour,10
109->78,542,gen_beta_mle,0.04155342699959874,nll,-1951.3510299680152,False,rush_hour,10
109->78,542,johnson_mle,0.07506095303688198,nll,-1951.422064171394,False,rush_hour,10
11->517,542,bezier_mle,0.09803973999805748,nll,-2102.1461375586846,False,rush_hour,10
11->517,542,gen_beta_mle,0.09016645996598527,nll,-2111.0205905859025,False,rush_hour,10
11->517,542,johnson_mle,0.11179373000049964,nll,-2117.8624796534195,False,rush_hour,10
110->345,542,bezier_mle,0.017780683003365993,nll,-1903.9098723744983,False,rush_hour,10
110->345,542,gen_beta_mle,0.10732658597407863,nll,-1905.7683397195647,False,rush_hour,10
110->345,542,johnson_mle,0.0948774449643679,nll,-1905.733257241244,False,rush_hour,10
110->79,542,bezier_mle,0.016113167977891862,nll,-1941.827710353695,False,rush_hour,10
110->79,542,gen_beta_mle,0.0510508079896681,nll,-1943.9875003795714,False,rush_hour,10
110->79,542,johnson_mle,0.034502243041060865,nll,-1949.3434919012316,False,rush_hour,10
111->107,542,bezier_mle,0.07588419498642907,nll,-2004.6245816509836,False,rush_hour,10
111->107,542,gen_beta_mle,0.07156550203217193,nll,-2308.518948210917,False,rush_hour,10
111->107,542,johnson_mle,0.07048717100406066,nll,-8607.03378650127,False,rush_hour,10
111->239,542,bezier_mle,0.13719957700232044,nll,-1962.840528977101,False,rush_hour,10
111->239,542,gen_beta_mle,0.07243088202085346,nll,-1855.2478812741922,False,rush_hour,10
111->239,542,johnson_mle,0.04086680797627196,nll,-1870.4540398980826,False,rush_hour,10
112->42,542,bezier_mle,0.010855637025088072,nll,-1981.2487032681906,False,rush_hour,10
112->42,542,gen_beta_mle,0.0660657020052895,nll,-1981.8247578043602,False,rush_hour,10
112->42,542,johnson_mle,0.05365871195681393,nll,-1984.435251649255,False,rush_hour,10
113->531,542,bezier_mle,0.14097838499583304,nll,-2712.2924443809347,False,rush_hour,10
113->531,542,gen_beta_mle,0.07142701401608065,nll,-2854.1956565441624,False,rush_hour,10
113->531,542,johnson_mle,0.07123809598851949,nll,-9883.26199311641,False,rush_hour,10
113->532,542,bezier_mle,0.007619709998834878,nll,-1957.142006651334,False,rush_hour,10
113->532,542,gen_beta_mle,0.027493291010614485,nll,-1963.4194771415391,False,rush_hour,10
113->532,542,johnson_mle,0.0787966979551129,nll,-1962.8201500108894,False,rush_hour,10
114->280,542,bezier_mle,0.07177047798177227,nll,-2446.2581902057595,False,rush_hour,10
114->280,542,gen_beta_mle,0.06331892404705286,nll,-2623.404297322347,False,rush_hour,10
114->280,542,johnson_mle,0.06218559801345691,nll,-5098.176175206127,False,rush_hour,10
114->297,542,bezier_mle,0.0073594110435806215,nll,-1941.1597396234793,False,rush_hour,10
114->297,542,gen_beta_mle,0.0700771160190925,nll,-1941.5485799264636,False,rush_hour,10
114->297,542,johnson_mle,0.0791228290181607,nll,-1941.3819714816968,False,rush_hour,10
