n,rep,m,status,MSE,sup,l2,time_ms
3,0,200,attempt,,,,
3,0,200,ok,0.0023162635050877536,0.07517772663555827,0.0501095881591331,2.8302330028964207
3,1,200,attempt,,,,
3,1,200,ok,0.004469067932325814,0.12947409552889655,0.06760596894304441,2.2343789896694943
3,2,200,attempt,,,,
3,2,200,ok,0.0013381905326143016,0.08090084073563863,0.05031406930865252,1.9930479902541265
3,3,200,attempt,,,,
3,3,200,ok,0.002132422060959145,0.07549034437412017,0.05064254746884887,2.1733070025220513
3,4,200,attempt,,,,
3,4,200,ok,0.003205858705600807,0.12523981401902506,0.06693646756803054,2.1371080074459314
3,5,200,attempt,,,,
3,5,200,ok,0.002168179279728124,0.09732981837730886,0.056801610456542084,2.0013929897686467
3,6,200,attempt,,,,
3,6,200,ok,0.0027412428562834145,0.11282487678695835,0.060494939787587874,2.287556999363005
3,7,200,attempt,,,,
3,7,200,ok,0.002801028929173099,0.11330622157231846,0.05958430512670073,1.9900549959857017
3,8,200,attempt,,,,
3,8,200,ok,0.0019941391503990945,0.17025103534181119,0.09260069012987016,2.1266850089887157
3,9,200,attempt,,,,
3,9,200,ok,0.0026879352568536003,0.07977474441539306,0.052261040228397615,1.9757919944822788
4,0,320,attempt,,,,
4,0,320,ok,0.0004172581740153153,0.04244580396465436,0.02262969209430085,3.87103199318517
4,1,320,attempt,,,,
4,1,320,ok,0.000604791309185359,0.051660006983164086,0.025303204936777925,3.900188996340148
4,2,320,attempt,,,,
4,2,320,ok,0.0005905339353162656,0.04853271316592056,0.02373066184922515,3.3034469961421564
4,3,320,attempt,,,,
4,3,320,ok,0.000368020704138588,0.046153220127799766,0.023039906853326162,3.413384998566471
4,4,320,attempt,,,,
4,4,320,ok,0.0002759496959839101,0.06441211779083372,0.02995021762482105,3.276258008554578
4,5,320,attempt,,,,
4,5,320,ok,0.0006579506323076939,0.051541556151355084,0.024438141502795427,3.3911489881575108
4,6,320,attempt,,,,
4,6,320,ok,0.0003589955667619688,0.06888842190317718,0.032310594872008165,3.5945940035162494
4,7,320,attempt,,,,
4,7,320,ok,0.00044488332663747355,0.044003136664304776,0.022768198807559398,3.3473660005256534
4,8,320,attempt,,,,
4,8,320,ok,0.0008167592830567894,0.07090007239132856,0.033590272007753184,3.58718799543567
4,9,320,attempt,,,,
4,9,320,ok,0.000544684582893047,0.06271425724660173,0.029200780555948432,3.552302994648926
5,0,500,attempt,,,,
5,0,500,ok,0.00029177747754090803,0.06507463485731901,0.03259105141785225,6.488918006652966
5,1,500,attempt,,,,
5,1,500,ok,0.00048807656221409347,0.03748073674621544,0.02169867779368865,6.9984430010663345
5,2,500,attempt,,,,
5,2,500,ok,0.0003727373464246074,0.04290680769095789,0.024098330375481793,6.452748988522217
5,3,500,attempt,,,,
5,3,500,ok,0.0003448861977576581,0.09746047118232154,0.05157155633279648,7.7510320115834475
5,4,500,attempt,,,,
5,4,500,ok,0.0004017297530617749,0.04028783962078342,0.022776716201755923,7.102016999851912
5,5,500,attempt,,,,
5,5,500,ok,0.00019657307415638347,0.061574820957942644,0.033702758528263516,6.901708999066614
5,6,500,attempt,,,,
5,6,500,ok,0.000285375741351785,0.044420052577727964,0.021699948487030638,6.917794002220035
5,7,500,attempt,,,,
5,7,500,ok,0.00046486319547254075,0.07224641823527334,0.04176491088569648,8.098456004518084
5,8,500,attempt,,,,
5,8,500,ok,0.00032721753826067923,0.08378659187636334,0.04186026769416785,7.2370160050923005
5,9,500,attempt,,,,
5,9,500,ok,0.0003447898473373038,0.06603864160867334,0.029802206301426225,6.165126993437298
6,0,720,attempt,,,,
6,0,720,ok,0.000306600141160811,0.04912171476590532,0.021843994038085117,9.57802300399635
6,1,720,attempt,,,,
6,1,720,ok,0.0002947405406171656,0.04807282396778312,0.021754237825231688,9.208210001816042
6,2,720,attempt,,,,
6,2,720,ok,0.00034840678134652963,0.030166196771317433,0.018336251879362348,9.353407003800385
6,3,720,attempt,,,,
6,3,720,ok,0.00018522981820156154,0.0560234120552805,0.027219797366747855,9.589127992512658
6,4,720,attempt,,,,
6,4,720,ok,0.00037478522422552295,0.06592732323887307,0.029593827812228895,9.287036999012344
6,5,720,attempt,,,,
6,5,720,ok,0.00020730926976327677,0.04608872521946572,0.02387338521199006,9.36770900443662
6,6,720,attempt,,,,
6,6,720,ok,0.00032178430829262107,0.07008836039128108,0.03592676827050233,9.243877997505479
6,7,720,attempt,,,,
6,7,720,ok,0.0001930502990819942,0.04748858736969641,0.02500864063673448,9.317114992882125
6,8,720,attempt,,,,
6,8,720,ok,0.00028826235346653746,0.058249161979947894,0.02615142860026893,9.125099997618236
6,9,720,attempt,,,,
6,9,720,ok,0.00024406539531339808,0.05850635563369516,0.028638499687548852,9.053347996086814
7,0,980,attempt,,,,
7,0,980,ok,0.0002163129906310845,0.03307234509182222,0.015340082806141795,12.271212006453425
7,1,980,attempt,,,,
7,1,980,ok,0.00014930686729935713,0.03666745564221785,0.017720644522789177,12.413184987963177
7,2,980,attempt,,,,
7,2,980,ok,7.865503580527499e-05,0.05066787548415996,0.028450554467525195,13.589319001766853
7,3,980,attempt,,,,
7,3,980,ok,0.0001776758551244972,0.04286927887078679,0.020868124292280715,12.699158003670163
7,4,980,attempt,,,,
7,4,980,ok,0.00015229804696473753,0.03290785944456054,0.01751723384025652,12.994196004001424
7,5,980,attempt,,,,
7,5,980,ok,0.0001767899750139702,0.04329098590233349,0.0191232718586746,12.217972005601041
7,6,980,attempt,,,,
7,6,980,ok,9.517670887159944e-05,0.034792089998109677,0.01638665738061449,12.300396003411151
7,7,980,attempt,,,,
7,7,980,ok,0.0002129151957758482,0.0340533092669939,0.017353228743471064,12.784114995156415
7,8,980,attempt,,,,
7,8,980,ok,0.0001363244963114555,0.03294869020399327,0.016674735420416645,13.809708005283028
7,9,980,attempt,,,,
7,9,980,ok,0.00018373318069193168,0.04288038625055274,0.020082798618301832,13.492717000190169
8,0,1280,attempt,,,,
8,0,1280,ok,5.891044888878122e-05,0.0242665787883527,0.01054994015500472,19.063636995269917
8,1,1280,attempt,,,,
8,1,1280,ok,7.635163211989437e-05,0.05703552838427872,0.029894809193750545,23.597302002599463
8,2,1280,attempt,,,,
8,2,1280,ok,6.419510095356325e-05,0.031261776415409115,0.015378414230735387,18.837522991816513
8,3,1280,attempt,,,,
8,3,1280,ok,6.395080318029894e-05,0.02247529915738672,0.011320562717290237,18.583227996714413
8,4,1280,attempt,,,,
8,4,1280,ok,7.078798592670749e-05,0.03978004929810758,0.019888192699330093,20.60173799691256
8,5,1280,attempt,,,,
